city,date,wins
Brooklyn Nets,20171129,8
Brooklyn Nets,20171127,7
Brooklyn Nets,20171126,7
Brooklyn Nets,20171124,6
Brooklyn Nets,20171122,6
Brooklyn Nets,20171119,6
Brooklyn Nets,20171117,6
Brooklyn Nets,20171114,5
Brooklyn Nets,20171111,5
Brooklyn Nets,20171110,5
Brooklyn Nets,20171107,4
Brooklyn Nets,20171106,4
Brooklyn Nets,20171103,3
Brooklyn Nets,20171031,3
Brooklyn Nets,20171029,3
Brooklyn Nets,20171027,3
Brooklyn Nets,20171025,3
Brooklyn Nets,20171024,2
Brooklyn Nets,20171022,2
Brooklyn Nets,20171020,1
Brooklyn Nets,20171018,0
Charlotte Hornets,20180410,36
Charlotte Hornets,20180408,35
Charlotte Hornets,20180406,35
Charlotte Hornets,20180403,34
Charlotte Hornets,20180401,34
Charlotte Hornets,20180331,34
Charlotte Hornets,20180328,34
Charlotte Hornets,20180326,34
Charlotte Hornets,20180324,33
Charlotte Hornets,20180322,32
Charlotte Hornets,20180321,31
Charlotte Hornets,20180319,30
Charlotte Hornets,20180317,30
Charlotte Hornets,20180315,30
Charlotte Hornets,20180313,29
Charlotte Hornets,20180310,29
Charlotte Hornets,20180308,28
Charlotte Hornets,20180306,28
Charlotte Hornets,20180304,28
Charlotte Hornets,20180302,28
Charlotte Hornets,20180228,28
Charlotte Hornets,20180227,28
Charlotte Hornets,20180225,27
Charlotte Hornets,20180223,26
Charlotte Hornets,20180222,25
Charlotte Hornets,20180214,24
Charlotte Hornets,20180211,23
Charlotte Hornets,20180209,23
Charlotte Hornets,20180208,23
Charlotte Hornets,20180205,23
Charlotte Hornets,20180204,23
Charlotte Hornets,20180202,22
Charlotte Hornets,20180131,21
Charlotte Hornets,20180129,20
Charlotte Hornets,20180127,20
Charlotte Hornets,20180126,20
Charlotte Hornets,20180124,19
Charlotte Hornets,20180122,19
Charlotte Hornets,20180120,18
Charlotte Hornets,20180117,18
Charlotte Hornets,20180115,17
Charlotte Hornets,20180113,16
Charlotte Hornets,20180112,16
Charlotte Hornets,20180110,15
Charlotte Hornets,20180105,15
Charlotte Hornets,20180102,14
Charlotte Hornets,20171231,13
Charlotte Hornets,20171229,13
Charlotte Hornets,20171227,12
Charlotte Hornets,20171223,12
Charlotte Hornets,20171222,11
Charlotte Hornets,20171220,11
Charlotte Hornets,20171218,11
Charlotte Hornets,20171216,10
Charlotte Hornets,20171215,10
Charlotte Hornets,20171213,10
Charlotte Hornets,20171211,10
Charlotte Hornets,20171209,9
Charlotte Hornets,20171208,9
Charlotte Hornets,20171206,9
Charlotte Hornets,20171204,9
Charlotte Hornets,20171201,8
Charlotte Hornets,20171129,8
Charlotte Hornets,20171125,8
Charlotte Hornets,20171124,8
Charlotte Hornets,20171122,8
Charlotte Hornets,20171120,7
Charlotte Hornets,20171118,6
Charlotte Hornets,20171117,5
Charlotte Hornets,20171115,5
Charlotte Hornets,20171110,5
Charlotte Hornets,20171107,5
Charlotte Hornets,20171105,5
Charlotte Hornets,20171103,5
Charlotte Hornets,20171101,5
Charlotte Hornets,20171030,4
Charlotte Hornets,20171029,3
Charlotte Hornets,20171027,2
Charlotte Hornets,20171025,2
Charlotte Hornets,20171023,1
Charlotte Hornets,20171020,1
Charlotte Hornets,20171018,0
Chicago Bulls,20180411,27
Chicago Bulls,20180409,27
Chicago Bulls,20180407,27
Chicago Bulls,20180406,27
Chicago Bulls,20180403,27
Chicago Bulls,20180401,26
Chicago Bulls,20180330,25
Chicago Bulls,20180329,24
Chicago Bulls,20180327,24
Chicago Bulls,20180324,24
Chicago Bulls,20180323,24
Chicago Bulls,20180321,24
Chicago Bulls,20180319,24
Chicago Bulls,20180317,24
Chicago Bulls,20180315,24
Chicago Bulls,20180313,23
Chicago Bulls,20180311,23
Chicago Bulls,20180309,22
Chicago Bulls,20180307,22
Chicago Bulls,20180305,21
Chicago Bulls,20180302,21
Chicago Bulls,20180227,20
Chicago Bulls,20180226,20
Chicago Bulls,20180224,20
Chicago Bulls,20180222,20
Chicago Bulls,20180214,20
Chicago Bulls,20180212,20
Chicago Bulls,20180210,19
Chicago Bulls,20180209,19
Chicago Bulls,20180205,18
Chicago Bulls,20180203,18
Chicago Bulls,20180131,18
Chicago Bulls,20180128,18
Chicago Bulls,20180126,18
Chicago Bulls,20180124,18
Chicago Bulls,20180122,18
Chicago Bulls,20180120,18
Chicago Bulls,20180117,17
Chicago Bulls,20180115,17
Chicago Bulls,20180113,16
Chicago Bulls,20180110,15
Chicago Bulls,20180108,14
Chicago Bulls,20180106,14
Chicago Bulls,20180105,14
Chicago Bulls,20180103,13
Chicago Bulls,20180101,13
Chicago Bulls,20171231,13
Chicago Bulls,20171229,13
Chicago Bulls,20171227,12
Chicago Bulls,20171226,11
Chicago Bulls,20171223,10
Chicago Bulls,20171221,10
Chicago Bulls,20171220,10
Chicago Bulls,20171218,9
Chicago Bulls,20171215,8
Chicago Bulls,20171213,7
Chicago Bulls,20171211,6
Chicago Bulls,20171209,5
Chicago Bulls,20171208,4
Chicago Bulls,20171206,3
Chicago Bulls,20171204,3
Chicago Bulls,20171201,3
Chicago Bulls,20171130,3
Chicago Bulls,20171128,3
Chicago Bulls,20171126,3
Chicago Bulls,20171124,3
Chicago Bulls,20171122,3
Chicago Bulls,20171121,3
Chicago Bulls,20171119,3
Chicago Bulls,20171117,3
Chicago Bulls,20171115,2
Chicago Bulls,20171111,2
Chicago Bulls,20171110,2
Chicago Bulls,20171107,2
Chicago Bulls,20171104,2
Chicago Bulls,20171103,2
Chicago Bulls,20171101,1
Chicago Bulls,20171028,1
Chicago Bulls,20171026,1
Chicago Bulls,20171024,0
Chicago Bulls,20171021,0
Chicago Bulls,20171019,0
Cleveland Cavaliers,20180411,50
Cleveland Cavaliers,20180409,50
Cleveland Cavaliers,20180406,49
Cleveland Cavaliers,20180405,49
Cleveland Cavaliers,20180403,48
Cleveland Cavaliers,20180401,47
Cleveland Cavaliers,20180330,46
Cleveland Cavaliers,20180328,45
Cleveland Cavaliers,20180327,44
Cleveland Cavaliers,20180325,44
Cleveland Cavaliers,20180323,43
Cleveland Cavaliers,20180321,42
Cleveland Cavaliers,20180319,41
Cleveland Cavaliers,20180317,40
Cleveland Cavaliers,20180315,39
Cleveland Cavaliers,20180313,39
Cleveland Cavaliers,20180311,38
Cleveland Cavaliers,20180309,38
Cleveland Cavaliers,20180307,38
Cleveland Cavaliers,20180305,37
Cleveland Cavaliers,20180303,36
Cleveland Cavaliers,20180301,36
Cleveland Cavaliers,20180227,36
Cleveland Cavaliers,20180225,35
Cleveland Cavaliers,20180223,35
Cleveland Cavaliers,20180222,34
Cleveland Cavaliers,20180213,34
Cleveland Cavaliers,20180211,33
Cleveland Cavaliers,20180209,32
Cleveland Cavaliers,20180207,31
Cleveland Cavaliers,20180206,30
Cleveland Cavaliers,20180203,30
Cleveland Cavaliers,20180131,30
Cleveland Cavaliers,20180130,29
Cleveland Cavaliers,20180128,29
Cleveland Cavaliers,20180126,28
Cleveland Cavaliers,20180123,27
Cleveland Cavaliers,20180120,27
Cleveland Cavaliers,20180118,27
Cleveland Cavaliers,20180115,26
Cleveland Cavaliers,20180112,26
Cleveland Cavaliers,20180111,26
Cleveland Cavaliers,20180108,26
Cleveland Cavaliers,20180106,26
Cleveland Cavaliers,20180103,25
Cleveland Cavaliers,20180102,25
Cleveland Cavaliers,20171230,24
Cleveland Cavaliers,20171227,24
Cleveland Cavaliers,20171225,24
Cleveland Cavaliers,20171221,24
Cleveland Cavaliers,20171219,23
Cleveland Cavaliers,20171217,23
Cleveland Cavaliers,20171216,22
Cleveland Cavaliers,20171214,21
Cleveland Cavaliers,20171212,20
Cleveland Cavaliers,20171209,19
Cleveland Cavaliers,20171208,18
Cleveland Cavaliers,20171206,18
Cleveland Cavaliers,20171204,17
Cleveland Cavaliers,20171202,16
Cleveland Cavaliers,20171130,15
Cleveland Cavaliers,20171128,14
Cleveland Cavaliers,20171127,13
Cleveland Cavaliers,20171124,12
Cleveland Cavaliers,20171122,11
Cleveland Cavaliers,20171120,10
Cleveland Cavaliers,20171117,9
Cleveland Cavaliers,20171115,8
Cleveland Cavaliers,20171113,7
Cleveland Cavaliers,20171111,6
Cleveland Cavaliers,20171109,5
Cleveland Cavaliers,20171107,5
Cleveland Cavaliers,20171105,4
Cleveland Cavaliers,20171103,4
Cleveland Cavaliers,20171101,3
Cleveland Cavaliers,20171029,3
Cleveland Cavaliers,20171028,3
Cleveland Cavaliers,20171025,3
Cleveland Cavaliers,20171024,3
Cleveland Cavaliers,20171021,2
Cleveland Cavaliers,20171020,2
Cleveland Cavaliers,20171017,1
Dallas Mavaricks,20180410,24
Dallas Mavaricks,20180408,24
Dallas Mavaricks,20180406,24
Dallas Mavaricks,20180404,24
Dallas Mavaricks,20180403,24
Dallas Mavaricks,20180401,23
Dallas Mavaricks,20180330,23
Dallas Mavaricks,20180328,23
Dallas Mavaricks,20180327,23
Dallas Mavaricks,20180324,22
Dallas Mavaricks,20180322,22
Dallas Mavaricks,20180320,22
Dallas Mavaricks,20180317,22
Dallas Mavaricks,20180316,22
Dallas Mavaricks,20180313,22
Dallas Mavaricks,20180311,21
Dallas Mavaricks,20180310,21
Dallas Mavaricks,20180306,20
Dallas Mavaricks,20180304,19
Dallas Mavaricks,20180302,19
Dallas Mavaricks,20180228,19
Dallas Mavaricks,20180226,19
Dallas Mavaricks,20180224,18
Dallas Mavaricks,20180223,18
Dallas Mavaricks,20180213,18
Dallas Mavaricks,20180211,18
Dallas Mavaricks,20180210,18
Dallas Mavaricks,20180208,17
Dallas Mavaricks,20180205,17
Dallas Mavaricks,20180203,17
Dallas Mavaricks,20180131,16
Dallas Mavaricks,20180129,16
Dallas Mavaricks,20180127,16
Dallas Mavaricks,20180126,16
Dallas Mavaricks,20180124,16
Dallas Mavaricks,20180122,16
Dallas Mavaricks,20180120,15
Dallas Mavaricks,20180116,15
Dallas Mavaricks,20180113,15
Dallas Mavaricks,20180110,15
Dallas Mavaricks,20180109,14
Dallas Mavaricks,20180107,13
Dallas Mavaricks,20180105,13
Dallas Mavaricks,20180103,13
Dallas Mavaricks,20171231,13
Dallas Mavaricks,20171229,12
Dallas Mavaricks,20171227,11
Dallas Mavaricks,20171226,10
Dallas Mavaricks,20171223,9
Dallas Mavaricks,20171222,9
Dallas Mavaricks,20171220,9
Dallas Mavaricks,20171218,8
Dallas Mavaricks,20171216,8
Dallas Mavaricks,20171214,8
Dallas Mavaricks,20171212,8
Dallas Mavaricks,20171210,7
Dallas Mavaricks,20171208,7
Dallas Mavaricks,20171206,7
Dallas Mavaricks,20171204,7
Dallas Mavaricks,20171202,6
Dallas Mavaricks,20171129,5
Dallas Mavaricks,20171127,5
Dallas Mavaricks,20171125,5
Dallas Mavaricks,20171122,4
Dallas Mavaricks,20171120,3
Dallas Mavaricks,20171118,3
Dallas Mavaricks,20171117,2
Dallas Mavaricks,20171114,2
Dallas Mavaricks,20171112,2
Dallas Mavaricks,20171111,2
Dallas Mavaricks,20171107,2
Dallas Mavaricks,20171104,1
Dallas Mavaricks,20171103,1
Dallas Mavaricks,20171101,1
Dallas Mavaricks,20171030,1
Dallas Mavaricks,20171028,1
Dallas Mavaricks,20171026,1
Dallas Mavaricks,20171025,1
Dallas Mavaricks,20171023,0
Dallas Mavaricks,20171021,0
Dallas Mavaricks,20171020,0
Dallas Mavaricks,20171018,0
Denver Nuggets,20180411,46
Denver Nuggets,20180409,46
Denver Nuggets,20180407,45
Denver Nuggets,20180405,44
Denver Nuggets,20180403,43
Denver Nuggets,20180401,42
Denver Nuggets,20180330,41
Denver Nuggets,20180327,40
Denver Nuggets,20180326,40
Denver Nuggets,20180323,40
Denver Nuggets,20180321,39
Denver Nuggets,20180319,38
Denver Nuggets,20180317,38
Denver Nuggets,20180315,38
Denver Nuggets,20180313,37
Denver Nuggets,20180311,37
Denver Nuggets,20180309,36
Denver Nuggets,20180307,35
Denver Nuggets,20180306,35
Denver Nuggets,20180303,35
Denver Nuggets,20180302,34
Denver Nuggets,20180227,33
Denver Nuggets,20180225,33
Denver Nuggets,20180223,33
Denver Nuggets,20180215,32
Denver Nuggets,20180213,31
Denver Nuggets,20180210,30
Denver Nuggets,20180209,29
Denver Nuggets,20180205,29
Denver Nuggets,20180203,28
Denver Nuggets,20180201,27
Denver Nuggets,20180130,26
Denver Nuggets,20180129,26
Denver Nuggets,20180127,26
Denver Nuggets,20180125,25
Denver Nuggets,20180122,24
Denver Nuggets,20180119,23
Denver Nuggets,20180117,23
Denver Nuggets,20180116,23
Denver Nuggets,20180113,22
Denver Nuggets,20180112,22
Denver Nuggets,20180110,21
Denver Nuggets,20180108,21
Denver Nuggets,20180106,21
Denver Nuggets,20180105,21
Denver Nuggets,20180103,20
Denver Nuggets,20171230,19
Denver Nuggets,20171227,19
Denver Nuggets,20171226,19
Denver Nuggets,20171223,18
Denver Nuggets,20171222,17
Denver Nuggets,20171220,16
Denver Nuggets,20171218,16
Denver Nuggets,20171215,16
Denver Nuggets,20171213,15
Denver Nuggets,20171212,15
Denver Nuggets,20171210,14
Denver Nuggets,20171208,14
Denver Nuggets,20171206,13
Denver Nuggets,20171204,13
Denver Nuggets,20171202,13
Denver Nuggets,20171130,12
Denver Nuggets,20171128,11
Denver Nuggets,20171124,11
Denver Nuggets,20171122,10
Denver Nuggets,20171120,10
Denver Nuggets,20171119,9
Denver Nuggets,20171117,9
Denver Nuggets,20171113,8
Denver Nuggets,20171111,8
Denver Nuggets,20171109,7
Denver Nuggets,20171107,6
Denver Nuggets,20171104,5
Denver Nuggets,20171103,5
Denver Nuggets,20171101,4
Denver Nuggets,20171030,3
Denver Nuggets,20171029,3
Denver Nuggets,20171027,2
Denver Nuggets,20171025,1
Denver Nuggets,20171023,1
Denver Nuggets,20171021,1
Denver Nuggets,20171018,0
Detroit Pistons,20180411,39
Detroit Pistons,20180409,38
Detroit Pistons,20180408,38
Detroit Pistons,20180406,38
Detroit Pistons,20180404,37
Detroit Pistons,20180401,37
Detroit Pistons,20180331,36
Detroit Pistons,20180329,35
Detroit Pistons,20180326,34
Detroit Pistons,20180324,33
Detroit Pistons,20180322,32
Detroit Pistons,20180320,32
Detroit Pistons,20180319,31
Detroit Pistons,20180317,30
Detroit Pistons,20180315,30
Detroit Pistons,20180313,30
Detroit Pistons,20180309,30
Detroit Pistons,20180307,29
Detroit Pistons,20180305,29
Detroit Pistons,20180303,29
Detroit Pistons,20180302,29
Detroit Pistons,20180228,29
Detroit Pistons,20180226,28
Detroit Pistons,20180225,28
Detroit Pistons,20180223,28
Detroit Pistons,20180214,28
Detroit Pistons,20180212,27
Detroit Pistons,20180211,27
Detroit Pistons,20180209,27
Detroit Pistons,20180207,27
Detroit Pistons,20180205,26
Detroit Pistons,20180203,25
Detroit Pistons,20180201,24
Detroit Pistons,20180130,23
Detroit Pistons,20180128,22
Detroit Pistons,20180127,22
Detroit Pistons,20180124,22
Detroit Pistons,20180121,22
Detroit Pistons,20180119,22
Detroit Pistons,20180117,22
Detroit Pistons,20180115,22
Detroit Pistons,20180113,22
Detroit Pistons,20180110,22
Detroit Pistons,20180108,21
Detroit Pistons,20180106,21
Detroit Pistons,20180105,20
Detroit Pistons,20180103,20
Detroit Pistons,20171230,20
Detroit Pistons,20171228,19
Detroit Pistons,20171226,19
Detroit Pistons,20171222,18
Detroit Pistons,20171220,17
Detroit Pistons,20171217,17
Detroit Pistons,20171215,16
Detroit Pistons,20171214,15
Detroit Pistons,20171212,14
Detroit Pistons,20171210,14
Detroit Pistons,20171208,14
Detroit Pistons,20171206,14
Detroit Pistons,20171204,14
Detroit Pistons,20171202,14
Detroit Pistons,20171201,14
Detroit Pistons,20171129,14
Detroit Pistons,20171127,13
Detroit Pistons,20171124,12
Detroit Pistons,20171120,11
Detroit Pistons,20171119,11
Detroit Pistons,20171117,10
Detroit Pistons,20171115,10
Detroit Pistons,20171112,10
Detroit Pistons,20171110,9
Detroit Pistons,20171108,8
Detroit Pistons,20171104,7
Detroit Pistons,20171103,6
Detroit Pistons,20171031,5
Detroit Pistons,20171029,5
Detroit Pistons,20171028,4
Detroit Pistons,20171025,3
Detroit Pistons,20171023,2
Detroit Pistons,20171021,2
Detroit Pistons,20171020,1
Detroit Pistons,20171018,1
Golden State Warriors,20180410,58
Golden State Warriors,20180408,58
Golden State Warriors,20180407,57
Golden State Warriors,20180405,57
Golden State Warriors,20180403,57
Golden State Warriors,20180401,56
